timestamp,lat,lon,hMSL,fixType,numSV
200228.00,60.31955833333333,24.830812666666663,95.2,4,12
200229.00,60.31955833333333,24.830812833333333,95.2,4,12
200230.00,60.31955833333333,24.830812833333333,95.2,4,12
200242.00,60.31955833333333,24.830812833333333,95.2,4,12
200243.00,60.31955833333333,24.830812666666663,95.2,4,12
200244.00,60.31955833333333,24.830812666666663,95.2,4,12
200245.00,60.31955833333333,24.830812666666663,95.2,4,12
200246.00,60.31955833333333,24.830812833333333,95.2,4,12
200247.00,60.31955833333333,24.830812833333333,95.2,4,12
200248.00,60.31955833333333,24.830812833333333,95.2,4,12
200249.00,60.31955833333333,24.830812833333333,95.2,4,12
200250.00,60.31955833333333,24.830812833333333,95.2,4,12
200251.00,60.31955833333333,24.830812833333333,95.2,4,12
200252.00,60.31955833333333,24.830812833333333,95.2,4,12
200253.00,60.31955833333333,24.830812833333333,95.2,4,12
200254.00,60.31955833333333,24.830812666666663,95.2,4,12
200255.00,60.31955833333333,24.830812833333333,95.2,4,12
200256.00,60.31955833333333,24.830812833333333,95.2,4,12
200257.00,60.31955816666667,24.830812833333333,95.2,4,12
200258.00,60.31955816666667,24.830812833333333,95.2,4,12
200259.00,60.31955816666667,24.830812833333333,95.2,4,12
200300.00,60.31955816666667,24.830812833333333,95.2,4,12
200301.00,60.31955816666667,24.830812833333333,95.2,4,12
200302.00,60.31955816666667,24.830812833333333,95.2,4,12
200303.00,60.31955816666667,24.830812833333333,95.2,4,12
200314.00,60.31955816666667,24.830812999999996,95.2,4,12
200315.00,60.31955816666667,24.830812999999996,95.2,4,12
200316.00,60.31955816666667,24.830812999999996,95.2,4,12
200317.00,60.31955816666667,24.830812999999996,95.2,4,12
200318.00,60.31955816666667,24.830812999999996,95.2,4,12
200319.00,60.31955816666667,24.830812999999996,95.2,4,12
200320.00,60.31955816666667,24.830812833333333,95.2,4,12
200321.00,60.31955816666667,24.830812833333333,95.2,4,12
200322.00,60.31955816666667,24.830812833333333,95.2,4,12
200323.00,60.31955816666667,24.830812999999996,95.2,4,12
200324.00,60.31955816666667,24.830812999999996,95.2,4,12
200325.00,60.31955816666667,24.830812999999996,95.2,4,12
200326.00,60.31955816666667,24.830812999999996,95.2,4,12
200327.00,60.31955816666667,24.830812999999996,95.2,4,12
200328.00,60.31955816666667,24.830812833333333,95.2,4,12
200329.00,60.31955816666667,24.830812833333333,95.2,4,12
200330.00,60.31955816666667,24.830812999999996,95.2,4,12
200331.00,60.31955816666667,24.830812999999996,95.2,4,12
200353.00,60.31955816666667,24.830812833333333,95.2,4,12
200354.00,60.31955816666667,24.830812833333333,95.2,4,12
200356.00,60.31955816666667,24.830812833333333,95.2,4,12
200357.00,60.31955816666667,24.830812833333333,95.2,4,12
200358.00,60.31955816666667,24.830812833333333,95.2,4,12
200359.00,60.31955816666667,24.830812999999996,95.2,4,12
200400.00,60.31955816666667,24.830812833333333,95.2,4,12
200401.00,60.31955816666667,24.830812833333333,95.2,4,12
200402.00,60.31955816666667,24.830812833333333,95.2,4,12
200403.00,60.31955816666667,24.830812833333333,95.2,4,12
200404.00,60.31955816666667,24.830812833333333,95.2,4,12
200405.00,60.31955816666667,24.830812999999996,95.2,4,12
200406.00,60.31955833333333,24.830812833333333,95.2,4,12
200407.00,60.31955833333333,24.830812999999996,95.2,4,12
200408.00,60.31955816666667,24.830812833333333,95.2,4,12
200420.00,60.31955833333333,24.830812833333333,95.2,4,12
200421.00,60.31955816666667,24.830812833333333,95.2,4,12
200422.00,60.31955816666667,24.830812833333333,95.2,4,12
200423.00,60.31955816666667,24.830812833333333,95.2,4,12
200424.00,60.31955816666667,24.830812833333333,95.2,4,12
200425.00,60.31955816666667,24.830812833333333,95.2,4,12
200426.00,60.31955833333333,24.830812833333333,95.2,4,12
200427.00,60.31955833333333,24.830812833333333,95.2,4,12
200438.00,60.31955833333333,24.830812833333333,95.2,4,12
200439.00,60.31955833333333,24.830812833333333,95.2,4,12
200440.00,60.31955816666667,24.830812833333333,95.2,4,12
200441.00,60.31955833333333,24.830812833333333,95.2,4,12
200442.00,60.31955833333333,24.830812833333333,95.2,4,12
200454.00,60.31955833333333,24.830812833333333,95.2,4,12
200455.00,60.31955833333333,24.830812833333333,95.2,4,12
200456.00,60.31955833333333,24.830812833333333,95.2,4,12
200457.00,60.31955833333333,24.830812833333333,95.2,4,12
200458.00,60.31955833333333,24.830812833333333,95.2,4,12
200459.00,60.31955833333333,24.830812833333333,95.2,4,12
200500.00,60.31955833333333,24.830812833333333,95.2,4,12
200501.00,60.31955833333333,24.830812833333333,95.2,4,12
200502.00,60.31955833333333,24.830812833333333,95.2,4,12
200504.00,60.31955833333333,24.830812833333333,95.2,4,12
200505.00,60.31955833333333,24.830812833333333,95.2,4,12
200506.00,60.31955833333333,24.830812833333333,95.2,4,12
200507.00,60.31955816666667,24.830812833333333,95.2,4,12
200508.00,60.31955833333333,24.830812833333333,95.2,4,12
200519.00,60.31955833333333,24.830812833333333,95.2,4,12
200520.00,60.31955816666667,24.830812833333333,95.2,4,12
200521.00,60.31955816666667,24.830812833333333,95.2,4,12
200522.00,60.31955816666667,24.830812833333333,95.2,4,12
200523.00,60.31955816666667,24.830812833333333,95.2,4,12
200524.00,60.31955816666667,24.830812833333333,95.2,4,12
200525.00,60.31955816666667,24.830812833333333,95.2,4,12
200526.00,60.31955816666667,24.830812833333333,95.2,4,12
200538.00,60.31955833333333,24.830812833333333,95.2,4,12
200539.00,60.31955816666667,24.830812833333333,95.2,4,12
200551.00,60.31955816666667,24.830812833333333,95.2,4,12
200552.00,60.31955816666667,24.830812833333333,95.2,4,12
200553.00,60.31955816666667,24.830812833333333,95.2,4,12
200554.00,60.31955816666667,24.830812833333333,95.2,4,12
200555.00,60.31955833333333,24.830812833333333,95.2,4,12
200556.00,60.31955833333333,24.830812833333333,95.2,4,12
200557.00,60.31955833333333,24.830812833333333,95.2,4,12
200558.00,60.31955833333333,24.830812833333333,95.2,4,12
200610.00,60.31955833333333,24.830812833333333,95.2,4,12
200611.00,60.31955833333333,24.830812833333333,95.2,4,12
200612.00,60.31955833333333,24.830812833333333,95.2,4,12
200624.00,60.31955833333333,24.830812833333333,95.2,4,12
200625.00,60.31955833333333,24.830812833333333,95.2,4,12
200626.00,60.31955833333333,24.830812833333333,95.2,4,12
200628.00,60.31955833333333,24.830812833333333,95.2,4,12
200629.00,60.31955833333333,24.830812833333333,95.2,4,12
200630.00,60.31955833333333,24.830812833333333,95.2,4,12
200631.00,60.31955833333333,24.830812833333333,95.2,4,12
200632.00,60.31955833333333,24.830812833333333,95.2,4,12
200633.00,60.31955833333333,24.830812833333333,95.2,4,12
200634.00,60.31955833333333,24.830812833333333,95.2,4,12
200635.00,60.31955833333333,24.830812833333333,95.2,4,12
200636.00,60.31955816666667,24.830812833333333,95.2,4,12
200637.00,60.31955833333333,24.830812833333333,95.2,4,12
200638.00,60.31955816666667,24.830812833333333,95.2,4,12
200639.00,60.31955833333333,24.830812833333333,95.2,4,12
200640.00,60.31955833333333,24.830812833333333,95.2,4,12
200641.00,60.31955833333333,24.830812833333333,95.2,4,12
200643.00,60.31955833333333,24.830812833333333,95.2,4,12
200644.00,60.31955833333333,24.830812833333333,95.2,4,12
